date,ММВБ,MICEXCBITR,S&P500,NASDAQ Composite,S&P500 Bond Index,NAREIT,"Депозит в $ ф.л. более 1 года, % годовых"
1/1/16,"29,64%","66,00%","79,93%","112,26%","35,16%","122,86%","27,98%"
1/2/16,"31,82%","68,38%","91,81%","126,78%","38,72%","145,12%","28,22%"
1/3/16,"37,59%","70,70%","92,32%","122,38%","40,69%","141,04%","28,47%"
1/4/16,"33,79%","72,40%","95,27%","130,43%","40,60%","146,68%","28,71%"
1/5/16,"33,23%","74,48%","95,45%","125,52%","43,43%","163,17%","28,94%"
1/6/16,"37,00%","75,66%","102,41%","140,40%","45,57%","173,35%","29,15%"
1/7/16,"38,90%","77,47%","102,16%","142,77%","45,88%","164,38%","29,34%"
1/8/16,"39,35%","79,41%","101,91%","147,37%","45,46%","160,66%","29,51%"
1/9/16,"40,17%","77,87%","97,99%","141,65%","44,27%","147,91%","29,67%"
1/10/16,"48,29%","78,82%","104,76%","147,92%","40,66%","142,85%","29,82%"
1/11/16,"57,30%","80,75%","108,48%","150,69%","41,47%","153,05%","29,99%"
1/12/16,"56,22%","82,67%","112,21%","161,48%","41,99%","153,67%","30,17%"
1/1/17,"43,42%","84,25%","120,10%","171,29%","43,39%","164,22%","30,33%"
1/2/17,"40,61%","86,39%","120,02%","175,30%","43,19%","160,56%","30,49%"
1/3/17,"42,08%","88,85%","122,02%","181,63%","44,54%","161,88%","30,65%"
1/4/17,"33,88%","90,37%","124,59%","188,66%","46,10%","161,50%","30,79%"
1/5/17,"32,41%","91,67%","125,67%","185,95%","46,50%","166,80%","30,93%"
1/6/17,"35,23%","92,21%","130,04%","195,63%","47,53%","169,98%","31,06%"
