date,ММВБ,MICEXCBITR,S&P500,NASDAQ Composite,S&P500 Bond Index,NAREIT,"Депозит в $ ф.л. более 1 года, % годовых"
1/1/10,"-0,06113764777","0,01971428571","0,02851369346","0,04233590239","0,003716711563","0,05057423229","0,004166666667"
1/2/10,"0,0216496879","0,04628571429","0,08898656262","0,1167066384","0,007365226583","0,1495248266","0,008099652778"
1/3/10,"0,0117090079","0,0564","0,1050592716","0,1461522341","0,02342551233","0,2251694837","0,01196403478"
1/4/10,"-0,06115173803","0,05548571429","0,01447102536","0,05108156565","0,01943601459","0,1600382306","0,01634921226"
1/5/10,"-0,07757393865","0,07497142857","-0,04019108458","-0,01774745617","0,0394516998","0,1074518635","0,02016052181"
1/6/10,"-0,01571064238","0,08308571429","0,02582249248","0,04999185042","0,05766017663","0,2070525322","0,02373108364"
1/7/10,"-0,03559200237","0,08994285714","-0,02285192807","-0,01551679978","0,07753946875","0,1901041667","0,02748476428"
1/8/10,"0,01471023376","0,0992","0,06269846443","0,1030432859","0,08350666621","0,2431239165","0,03133783214"
1/9/10,"0,07324822815","0,1056571429","0,1018652165","0,1676764384","0,08527977632","0,2997577699","0,03529129383"
1/10/10,"0,1029293655","0,1086857143","0,09934163353","0,1634014017","0,07869880997","0,2786497028","0,03934618473"
1/11/10,"0,1892110862","0,1111428571","0,1711287214","0,235415745","0,07082210932","0,3384139735","0,04341695729"
1/12/10,"0,2141719857","0,1212571429","0,1976496224","0,2574009826","0,07430013298","0,3871424591","0,04741672229"
1/1/11,"0,2525115892","0,1310285714","0,2359224115","0,2956760658","0,08146076994","0,4493715948","0,05143181973"
1/2/11,"0,277697933","0,1413714286","0,2346280276","0,2951172375","0,08030142872","0,4293663323","0,05528706973"
1/3/11,"0,2271491172","0,1514285714","0,2698091948","0,3381796167","0,09707777816","0,4992996223","0,05915645566"
1/4/11,"0,1739301968","0,1566857143","0,2526655927","0,3203716208","0,1113308555","0,5118793338","0,06339308148"
1/5/11,"0,1741345056","0,1664","0,2297950404","0,291601276","0,1030449756","0,4713348192","0,06738080553"
1/6/11,"0,2013216666","0,1780571429","0,2033858847","0,2836193448","0,1269478637","0,4770190998","0,07120558675"
1/7/11,"0,08921249524","0,1738285714","0,1350442791","0,2012294223","0,1273229447","0,4023302068","0,07477627204"
1/8/11,"-0,03725465331","0,1669142857","0,05359121681","0,1248282767","0,1295393324","0,256280182","0,078537989"
1/9/11,"0,05578334813","0,1711428571","0,1670872638","0,2501036161","0,1484297746","0,4235272722","0,08258250645"
1/10/11,"0,0565019515","0,1745714286","0,1611833835","0,2202668405","0,131005558","0,3733129024","0,08673240606"
1/11/11,"-0,01211058038","0,1798285714","0,1710914729","0,2131930053","0,1539877928","0,4358167719","0,09116989672"
1/12/11,"0,06665398543","0,1898857143","0,2221311704","0,3103779077","0,1768336345","0,5287193536","0,09544364548"
